num;question;a;b;c;d;solution;area_code;area;thema;image;Tags
111;In Deutschland darf man wählen. Was bedeutet das?;Alle deutschen Staatsangehörigen dürfen wählen, wenn sie das Mindestalter erreicht haben.;Nur verheiratete Personen dürfen wählen.;Nur Personen mit einem festen Arbeitsplatz dürfen wählen.;Alle Einwohner und Einwohnerinnen in Deutschland müssen wählen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
112;Die Wahlen in Deutschland sind ...;speziell.;geheim.;berufsbezogen.;geschlechtsabhängig.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
113;Wahlen in Deutschland gewinnt die Partei, die ...;die meisten Stimmen bekommt.;die meisten Männer mehrheitlich gewählt haben.;die meisten Stimmen bei den Arbeitern / Arbeiterinnen bekommen hat.;die meisten Erststimmen für ihren Kanzlerkandidaten / ihre Kanzlerkandidatin erhalten hat.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
114;An demokratischen Wahlen in Deutschland teilzunehmen ist ...;eine Pflicht.;ein Recht.;ein Zwang.;eine Last.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
115;Was bedeutet „aktives Wahlrecht“ in Deutschland?;Man kann gewählt werden.;Man muss wählen gehen.;Man kann wählen.;Man muss zur Auszählung der Stimmen gehen.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
116;Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das ...;aktive Wahlkampagne.;aktives Wahlverfahren.;aktiver Wahlkampf.;aktives Wahlrecht.;d;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
117;Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?;3 %;4 %;5 %;6 %;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
118;Was regelt das Wahlrecht in Deutschland?;Wer wählen darf, muss wählen.;Alle die wollen, können wählen.;Wer nicht wählt, verliert das Recht zu wählen.;Wer wählen darf, kann wählen.;d;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
119;Wahlen in Deutschland sind frei. Was bedeutet das?;Alle verurteilten Straftäter / Straftäterinnen dürfen nicht wählen.;Wenn ich wählen gehen möchte, muss mein Arbeitgeber / meine Arbeitgeberin mir frei geben.;Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte.;Ich kann frei entscheiden, wo ich wählen gehen möchte.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
120;Das Wahlsystem in Deutschland ist ein ...;Zensuswahlrecht.;Dreiklassenwahlrecht.;Mehrheits- und Verhältniswahlrecht.;allgemeines Männerwahlrecht.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
121;Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt ...;5 %-Hürde.;Zulassungsgrenze.;Basiswert.;Richtlinie.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
122;Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind ...;frei, gleich, geheim.;offen, sicher, frei.;geschlossen, gleich, sicher.;sicher, offen, freiwillig.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
123;Was ist in Deutschland die „5 %-Hürde“?;Abstimmungsregelung im Bundestag für kleine Parteien;Anwesenheitskontrolle im Bundestag für Abstimmungen;Mindestanteil an Wählerstimmen, um ins Parlament zu kommen;Anwesenheitskontrolle im Bundesrat für Abstimmungen;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
124;Die Bundestagswahl in Deutschland ist die Wahl ...;des Bundeskanzlers / der Bundeskanzlerin.;der Parlamente der Länder.;des Parlaments für Deutschland.;des Bundespräsidenten / der Bundespräsidentin.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
125;In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, ...;die Bürger und Bürgerinnen zu zwingen, ihre Stimme abzugeben.;nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.;im Land bestehende Gesetze beizubehalten.;den Armen mehr Macht zu geben.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
126;Was bekommen wahlberechtigte Bürger und Bürgerinnen in Deutschland vor einer Wahl?;eine Wahlbenachrichtigung von der Gemeinde;eine Wahlerlaubnis vom Bundespräsidenten / von der Bundespräsidentin;eine Benachrichtigung von der Bundesversammlung;eine Benachrichtigung vom Pfarramt;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
127;Warum gibt es die 5 %-Hürde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil ...;die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben.;die Bürger und Bürgerinnen bei vielen kleinen Parteien die Orientierung verlieren können.;viele kleine Parteien die Regierungsbildung erschweren.;die kleinen Parteien nicht so viel Geld haben, um die Politiker und Politikerinnen zu bezahlen.;c;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
128;Parlamentsmitglieder, die von den Bürgern und Bürgerinnen gewählt werden, nennt man ...;Abgeordnete.;Kanzler / Kanzlerinnen.;Botschafter / Botschafterinnen.;Ministerpräsidenten / Ministerpräsidentinnen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
129;Vom Volk gewählt wird in Deutschland ...;der Bundeskanzler / die Bundeskanzlerin.;der Ministerpräsident / die Ministerpräsidentin eines Bundeslandes.;der Bundestag.;der Bundespräsident / die Bundespräsidentin.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
130;Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?;1;2;3;4;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;frage_130;image
131;In Deutschland ist ein Bürgermeister / eine Bürgermeisterin ...;der Leiter / die Leiterin einer Schule.;der Chef / die Chefin einer Bank.;das Oberhaupt einer Gemeinde.;der / die Vorsitzende einer Partei.;c;politik;Politik in der Demokratie;Kommune;-;
132;Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?;Sie arbeiten als Soldaten / Soldatinnen.;Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.;Sie arbeiten in der Bundesregierung.;Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
133;Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?;Der Ehemann wählt für seine Frau mit.;Man kann durch Briefwahl seine Stimme abgeben.;Man kann am Wahltag telefonisch seine Stimme abgeben.;Kinder ab dem Alter von 14 Jahren dürfen wählen.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
134;Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?;Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.;Ich werde Mitglied in einem Sportverein und trainiere Rad fahren.;Ich wende mich an das Finanzamt, weil ich als Steuerzahler / Steuerzahlerin ein Recht auf die Buslinie habe.;Ich schreibe einen Brief an das Forstamt der Gemeinde.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
135;Wen vertreten die Gewerkschaften in Deutschland?;große Unternehmen;kleine Unternehmen;Selbstständige;Arbeitnehmer und Arbeitnehmerinnen;d;politik;Politik in der Demokratie;Grundrechte;-;
136;Sie gehen in Deutschland zum Arbeitsgericht bei ...;falscher Nebenkostenabrechnung.;ungerechtfertigter Kündigung durch Ihren Chef / Ihre Chefin.;Problemen mit den Nachbarn / Nachbarinnen.;Schwierigkeiten nach einem Verkehrsunfall.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
137;Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?;das Familiengericht;das Strafgericht;das Arbeitsgericht;das Amtsgericht;c;politik;Politik in der Demokratie;Recht und Alltag;-;
138;Was kann ich in Deutschland machen, wenn mir mein Arbeitgeber / meine Arbeitgeberin zu Unrecht gekündigt hat?;weiter arbeiten und freundlich zum Chef / zur Chefin sein;ein Mahnverfahren gegen den Arbeitgeber / die Arbeitgeberin führen;Kündigungsschutzklage erheben;den Arbeitgeber / die Arbeitgeberin bei der Polizei anzeigen;c;politik;Politik in der Demokratie;Recht und Alltag;-;
139;Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand ...;zu einer anderen Religion übertritt.;eine Straftat begangen hat und angeklagt wird.;eine andere Meinung als die der Regierung vertritt.;sein Auto falsch geparkt hat und es abgeschleppt wird.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
140;Was macht ein Schöffe / eine Schöffin in Deutschland? Er / Sie ...;entscheidet mit Richtern / Richterinnen über Schuld und Strafe.;gibt Bürgern / Bürgerinnen rechtlichen Rat.;stellt Urkunden aus.;verteidigt den Angeklagten / die Angeklagte.;a;politik;Politik in der Demokratie;Recht und Alltag;-;
141;Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?;ein Rechtsanwalt / eine Rechtsanwältin;ein Richter / eine Richterin;ein Schöffe / eine Schöffin;ein Staatsanwalt / eine Staatsanwältin;a;politik;Politik in der Demokratie;Recht und Alltag;-;
142;Was ist die Hauptaufgabe eines Richters / einer Richterin in Deutschland? Ein Richter / eine Richterin ...;vertritt Bürger und Bürgerinnen vor einem Gericht.;arbeitet an einem Gericht und spricht Urteile.;ändert Gesetze.;betreut Jugendliche vor Gericht.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
143;Ein Richter / eine Richterin in Deutschland gehört zur ...;Judikative.;Exekutive.;Operative.;Legislative.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
144;Ein Richter / eine Richterin gehört in Deutschland zur ...;vollziehenden Gewalt.;rechtsprechenden Gewalt.;planenden Gewalt.;gesetzgebenden Gewalt.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
145;In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet ein Richter / eine Richterin? Für die ...;Judikative.;Exekutive.;Presse.;Legislative.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
146;Wie nennt man in Deutschland ein Verfahren vor einem Gericht?;Programm;Prozedur;Protokoll;Prozess;d;politik;Politik in der Demokratie;Recht und Alltag;-;
147;Was ist die Arbeit eines Richters / einer Richterin in Deutschland?;Deutschland regieren;Recht sprechen;Pläne erstellen;Gesetze erlassen;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
148;Was ist eine Aufgabe der Polizei in Deutschland?;das Land zu verteidigen;die Bürgerinnen und Bürger abzuhören;die Gesetze zu beschließen;die Einhaltung von Gesetzen zu überwachen;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
149;Wer kann Gerichtsschöffe / Gerichtsschöffin in Deutschland werden?;alle in Deutschland geborenen Einwohner / Einwohnerinnen über 18 Jahre;alle deutschen Staatsangehörigen älter als 24 und jünger als 70 Jahre;alle Personen, die seit mindestens 5 Jahren in Deutschland leben;nur Personen mit einem abgeschlossenen Jurastudium;b;politik;Politik in der Demokratie;Recht und Alltag;-;
150;Ein Gerichtsschöffe / eine Gerichtsschöffin in Deutschland ist ...;der Stellvertreter / die Stellvertreterin des Stadtoberhaupts.;ein ehrenamtlicher Richter / eine ehrenamtliche Richterin.;ein Mitglied eines Gemeinderats.;eine Person, die Jura studiert hat.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
151;Wer baute die Mauer in Berlin?;Großbritannien;die Bundesrepublik Deutschland;die DDR;die USA;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
152;Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?;1918 bis 1923;1932 bis 1950;1933 bis 1945;1945 bis 1989;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
153;Was war am 8. Mai 1945?;Tod Adolf Hitlers;Beginn des Berliner Mauerbaus;Wahl von Konrad Adenauer zum Bundeskanzler;Ende des Zweiten Weltkriegs in Europa;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
154;Wann war der Zweite Weltkrieg zu Ende?;1933;1945;1949;1961;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
155;Wann waren die Nationalsozialisten in Deutschland an der Macht?;1888 bis 1918;1921 bis 1934;1933 bis 1945;1949 bis 1963;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
156;In welchem Jahr wurde Hitler Reichskanzler?;1923;1927;1933;1936;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
157;Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland ...;eine Diktatur.;einen demokratischen Staat.;eine Monarchie.;ein Fürstentum.;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
158;Das „Dritte Reich“ war eine ...;Diktatur.;Demokratie.;Monarchie.;Räterepublik.;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
159;Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?;freie Wahlen;Pressezensur;willkürliche Verhaftungen;Verfolgung der Juden;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
160;Welcher Krieg dauerte von 1939 bis 1945?;der Erste Weltkrieg;der Zweite Weltkrieg;der Vietnamkrieg;der Golfkrieg;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
161;Was kennzeichnete den NS-Staat? Eine Politik ...;des staatlichen Rassismus;der Meinungsfreiheit;der allgemeinen Religionsfreiheit;der Entwicklung der Demokratie;a;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
162;Claus Schenk Graf von Stauffenberg wurde bekannt durch ...;eine Goldmedaille bei den Olympischen Spielen 1936.;den Bau des Reichstagsgebäudes.;den Aufbau der Wehrmacht.;das Attentat auf Hitler am 20. Juli 1944.;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
163;In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?;1925;1930;1938;1945;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
164;Was passierte am 9. November 1938 in Deutschland?;Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg.;Die Nationalsozialisten verlieren eine Wahl und lösen den Reichstag auf.;Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört.;Hitler wird Reichspräsident und lässt alle Parteien verbieten.;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date
165;Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?;Konrad Adenauer;Kurt Georg Kiesinger;Helmut Schmidt;Willy Brandt;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person
166;Bei welchen Demonstrationen in Deutschland riefen die Menschen „Wir sind das Volk“?;bei den Montagsdemonstrationen 1989 in der DDR;beim Arbeiteraufstand 1953 in der DDR;bei den Demonstrationen 1968 in der Bundesrepublik Deutschland;bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
167;Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als „Alliierte Besatzungsmächte“ bezeichnet?;Sowjetunion, Großbritannien, Polen, Schweden;Frankreich, Sowjetunion, Italien, Japan;USA, Sowjetunion, Spanien, Portugal;USA, Sowjetunion, Großbritannien, Frankreich;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
168;Welches Land war keine „Alliierte Besatzungsmacht“ in Deutschland?;USA;Sowjetunion;Frankreich;Japan;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
169;Wann wurde die Bundesrepublik Deutschland gegründet?;1939;1945;1949;1951;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
170;Was gab es während der Zeit des Nationalsozialismus in Deutschland?;das Recht zur freien Entfaltung der Persönlichkeit;Pressefreiheit;das Verbot von Parteien;den Schutz der Menschenwürde;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;difficult
171;Soziale Marktwirtschaft bedeutet, die Wirtschaft ...;steuert sich allein nach Angebot und Nachfrage.;wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht berücksichtigt.;richtet sich nach der Nachfrage im Ausland.;richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
172;In welcher Besatzungszone wurde die DDR gegründet? In der ...;amerikanischen Besatzungszone.;französischen Besatzungszone.;britischen Besatzungszone.;sowjetischen Besatzungszone.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
173;Die Bundesrepublik Deutschland ist ein Gründungsmitglied ...;des Nordatlantikpakts (NATO).;der Vereinten Nationen (VN).;der Europäischen Union (EU).;des Warschauer Pakts.;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
174;Wann wurde die DDR gegründet?;1947;1949;1953;1956;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
175;Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?;3;4;5;6;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
176;Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?;1=Großbritannien, 2=Sowjetunion, 3=Frankreich, 4=USA;1=Sowjetunion, 2=Großbritannien, 3=USA, 4=Frankreich;1=Großbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich;1=Großbritannien, 2=USA, 3=Sowjetunion, 4=Frankreich;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;frage_176;image
177;Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?;München;Berlin;Dresden;Frankfurt/Oder;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
178;Vom Juni 1948 bis zum Mai 1949 wurden die Bürger und Bürgerinnen von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?;Für Frankreich war eine Versorgung der West-Berliner Bevölkerung mit dem Flugzeug kostengünstiger.;Die amerikanischen Soldaten / Soldatinnen hatten beim Landtransport Angst vor Überfällen.;Für Großbritannien war die Versorgung über die Luftbrücke schneller.;Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
179;Wie endete der Zweite Weltkrieg in Europa offiziell?;mit dem Tod Adolf Hitlers;durch die bedingungslose Kapitulation Deutschlands;mit dem Rückzug der Deutschen aus den besetzten Gebieten;durch eine Revolution in Deutschland;b;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
180;Der erste Bundeskanzler der Bundesrepublik Deutschland war ...;Ludwig Erhard.;Willy Brandt.;Konrad Adenauer.;Gerhard Schröder.;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person
181;Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?;Er hat sich den ehemaligen Alliierten unterworfen.;Er bat Polen und die polnischen Juden um Vergebung.;Er zeigte seine Demut vor dem Warschauer Pakt.;Er sprach ein Gebet am Grab des Unbekannten Soldaten.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_181;image,date,person
182;Welche Parteien wurden 1946 zwangsweise zur SED vereint, der Einheitspartei der späteren DDR?;KPD und SPD;SPD und CDU;CDU und FDP;KPD und CSU;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
183;Wann war in der Bundesrepublik Deutschland das „Wirtschaftswunder“?;40er Jahre;50er Jahre;70er Jahre;80er Jahre;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
184;Was nannten die Menschen in Deutschland sehr lange „Die Stunde Null“?;Damit wird die Zeit nach der Wende im Jahr 1989 bezeichnet.;Damit wurde der Beginn des Zweiten Weltkrieges bezeichnet.;Darunter verstand man das Ende des Zweiten Weltkrieges und den Beginn des Wiederaufbaus.;Damit ist die Stunde gemeint, in der die Uhr von der Sommerzeit auf die Winterzeit umgestellt wird.;c;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;
185;Wofür stand der Ausdruck „Eiserner Vorhang“? Für die Abschottung ...;des Warschauer Pakts gegen den Westen.;Norddeutschlands gegen Süddeutschland.;Nazi-Deutschlands gegen die Alliierten.;Europas gegen die USA.;a;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
186;Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?;1. Mai;17. Juni;20. Juli;9. November;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
187;Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?;Preußen;Bundesrepublik Deutschland;DDR;„Drittes Reich“;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_187;image
188;In welchem Jahr wurde die Mauer in Berlin gebaut?;1953;1956;1959;1961;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
189;Wann baute die DDR die Mauer in Berlin?;1919;1933;1961;1990;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
190;Was bedeutet die Abkürzung DDR?;Dritter Deutscher Rundfunk;Die Deutsche Republik;Dritte Deutsche Republik;Deutsche Demokratische Republik;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
191;Wann wurde die Mauer in Berlin für alle geöffnet?;1987;1989;1992;1995;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
192;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Brandenburg;Bayern;Saarland;Hessen;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
193;Von 1961 bis 1989 war Berlin ...;ohne Bürgermeister.;ein eigener Staat.;durch eine Mauer geteilt.;nur mit dem Flugzeug erreichbar.;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
194;Am 3. Oktober feiert man in Deutschland den Tag der Deutschen ...;Einheit.;Nation.;Bundesländer.;Städte.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
195;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Hessen;Sachsen-Anhalt;Nordrhein-Westfalen;Saarland;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
196;Warum nennt man die Zeit im Herbst 1989 in der DDR „Die Wende“? In dieser Zeit veränderte sich die DDR politisch ...;von einer Diktatur zur Demokratie.;von einer liberalen Marktwirtschaft zum Sozialismus.;von einer Monarchie zur Sozialdemokratie.;von einem religiösen Staat zu einem kommunistischen Staat.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
197;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Thüringen;Hessen;Bayern;Bremen;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
198;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Bayern;Niedersachsen;Sachsen;Baden-Württemberg;c;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
199;Mit der Abkürzung „Stasi“ meinte man in der DDR ...;das Parlament.;das Ministerium für Staatssicherheit.;eine regierende Partei.;das Ministerium für Volksbildung.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult
200;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Hessen;Schleswig-Holstein;Mecklenburg-Vorpommern;Saarland;c;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
201;Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?;Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg;Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen;Bayern, Baden-Württemberg, Rheinland-Pfalz, Thüringen, Sachsen;Sachsen, Thüringen, Hessen, Niedersachsen, Brandenburg;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
202;Zu wem gehörte die DDR im „Kalten Krieg“?;zu den Westmächten;zum Warschauer Pakt;zur NATO;zu den blockfreien Staaten;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
203;Wie hieß das Wirtschaftssystem der DDR?;Marktwirtschaft;Planwirtschaft;Angebot und Nachfrage;Kapitalismus;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult
204;Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?;Die Bundesrepublik Deutschland hat die DDR besetzt.;Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.;Die westlichen Bundesländer sind der DDR beigetreten.;Die DDR hat die Bundesrepublik Deutschland besetzt.;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
205;Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch ...;zur Europäischen Union.;zum Warschauer Pakt.;zur OPEC.;zur Europäischen Verteidigungsgemeinschaft.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
206;Was bedeutete im Jahr 1989 in Deutschland das Wort „Montagsdemonstration“?;In der Bundesrepublik waren Demonstrationen nur am Montag erlaubt.;Montags waren Demonstrationen gegen das DDR-Regime.;Am ersten Montag im Monat trafen sich in der Bundesrepublik Deutschland Demonstranten.;Montags demonstrierte man in der DDR gegen den Westen.;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
207;In welchem Militärbündnis war die DDR Mitglied?;in der NATO;im Rheinbund;im Warschauer Pakt;im Europabündnis;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
208;Was war die „Stasi“?;der Geheimdienst im „Dritten Reich“;eine berühmte deutsche Gedenkstätte;der Geheimdienst der DDR;ein deutscher Sportverein während des Zweiten Weltkrieges;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
209;Welches war das Wappen der Deutschen Demokratischen Republik?;1;2;3;4;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_209;image
210;Was ereignete sich am 17. Juni 1953 in der DDR?;der feierliche Beitritt zum Warschauer Pakt;landesweite Streiks und ein Volksaufstand;der 1. SED-Parteitag;der erste Besuch Fidel Castros;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult
211;Welcher Politiker steht für die „Ostverträge“?;Helmut Kohl;Willy Brandt;Michail Gorbatschow;Ludwig Erhard;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person
212;Wie heißt Deutschland mit vollem Namen?;Bundesstaat Deutschland;Bundesländer Deutschland;Bundesrepublik Deutschland;Bundesbezirk Deutschland;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
213;Wie viele Einwohner hat Deutschland?;70 Millionen;78 Millionen;80 Millionen;90 Millionen;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
214;Welche Farben hat die deutsche Flagge?;schwarz-rot-gold;rot-weiß-schwarz;schwarz-rot-grün;schwarz-gelb-rot;a;politik;Politik in der Demokratie;Staatssymbole;-;
